Company Name,Industry,Career Page
Kaynes Technology India Ltd.,Capital Goods,
Kec International Ltd.,Construction,
Kfin Technologies Ltd.,Financial Services,
Kirloskar Oil Eng Ltd.,Capital Goods,
Kotak Mahindra Bank Ltd.,Financial Services,
Krishna Institute of Medical Sciences Ltd.,Healthcare,
L&T Finance Ltd.,Financial Services,
L&T Technology Services Ltd.,Information Technology,
LG Electronics India Ltd.,Consumer Durables,
LIC Housing Finance Ltd.,Financial Services,
LT Foods Ltd.,Fast Moving Consumer Goods,
LTM Ltd.,Information Technology,
Larsen & Toubro Ltd.,Construction,
Latent View Analytics Ltd.,Information Technology,
Laurus Labs Ltd.,Healthcare,
Leela Palaces Hotels & Resorts Ltd.,Consumer Services,
Lemon Tree Hotels Ltd.,Consumer Services,
Lenskart Solutions Ltd.,Consumer Services,
Life Insurance Corporation of India,Financial Services,
Linde India Ltd.,Chemicals,
Lloyds Metals And Energy Ltd.,Metals & Mining,
Lodha Developers Ltd.,Realty,
Lupin Ltd.,Healthcare,
MMTC Ltd.,Services,
MRF Ltd.,Automobile and Auto Components,
Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,
Mahindra & Mahindra Financial Services Ltd.,Financial Services,
Mahindra & Mahindra Ltd.,Automobile and Auto Components,
Manappuram Finance Ltd.,Financial Services,
Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels,
Mankind Pharma Ltd.,Healthcare,
Marico Ltd.,Fast Moving Consumer Goods,
Maruti Suzuki India Ltd.,Automobile and Auto Components,
Max Financial Services Ltd.,Financial Services,
Max Healthcare Institute Ltd.,Healthcare,
Mazagoan Dock Shipbuilders Ltd.,Capital Goods,
Meesho Ltd.,Consumer Services,
Minda Corporation Ltd.,Automobile and Auto Components,
Motherson Sumi Wiring India Ltd.,Automobile and Auto Components,
Motilal Oswal Financial Services Ltd.,Financial Services,
MphasiS Ltd.,Information Technology,
Multi Commodity Exchange of India Ltd.,Financial Services,
Muthoot Finance Ltd.,Financial Services,
NATCO Pharma Ltd.,Healthcare,
NBCC (India) Ltd.,Construction,
NCC Ltd.,Construction,
NHPC Ltd.,Power,
NLC India Ltd.,Power,
NMDC Ltd.,Metals & Mining,
NMDC Steel Ltd.,Metals & Mining,
NTPC Green Energy Ltd.,Power,
NTPC Ltd.,Power,
Narayana Hrudayalaya Ltd.,Healthcare,
National Aluminium Co. Ltd.,Metals & Mining,
Nava Ltd.,Power,
Navin Fluorine International Ltd.,Chemicals,
Nestle India Ltd.,Fast Moving Consumer Goods,
Netweb Technologies India Ltd.,Information Technology,
Neuland Laboratories Ltd.,Healthcare,
Newgen Software Technologies Ltd.,Information Technology,
Nippon Life India Asset Management Ltd.,Financial Services,
Niva Bupa Health Insurance Company Ltd.,Financial Services,
